mileage,make,model,fuel,gear,offerType,price,hp,year
34450,54,580,1,0,4,26980,150.0,2019
35950,54,559,1,0,4,27440,150.0,2019
12178,4,86,6,1,4,27440,150.0,2019
41365,54,450,1,0,4,27490,190.0,2019
31900,37,625,1,0,4,27600,163.0,2019
45700,4,86,1,0,4,27980,150.0,2019
9243,47,111,6,0,4,28250,150.0,2019
8650,20,380,1,0,1,28980,179.0,2019
17615,48,373,6,0,0,28990,150.0,2019
4016,37,299,6,0,4,29111,211.0,2019
9290,20,380,1,0,1,29980,179.0,2019
8650,20,380,1,0,1,29980,179.0,2019
22900,47,98,6,0,4,29990,150.0,2019
2955,4,86,1,0,4,29994,150.0,2019
1060,20,592,1,1,4,30452,131.0,2019
27500,5,32,1,0,4,30675,190.0,2019
100,19,445,6,1,3,10600,69.0,2021
15,19,445,4,1,3,10680,69.0,2021
20,53,119,6,1,3,10823,72.0,2021
15,19,445,4,1,3,10980,69.0,2021
10,53,119,6,1,3,10997,72.0,2021
9,53,119,6,1,3,11490,72.0,2021
100,22,662,6,1,3,11499,67.0,2021
10,53,119,6,1,3,11790,72.0,2021
10,28,452,6,1,3,11950,84.0,2021
10,53,119,6,1,3,11990,72.0,2021
132500,54,320,6,0,4,7800,122.0,2011
69019,43,55,6,1,4,7850,156.0,2011
123600,20,286,6,1,4,7885,150.0,2011
95963,41,110,6,1,4,7900,120.0,2011
71908,40,478,6,1,4,7900,117.0,2011
93510,28,193,6,1,4,7900,90.0,2011
131322,54,450,6,1,4,7900,122.0,2011
228000,54,450,1,1,4,7900,170.0,2011
61999,21,203,6,1,4,7949,99.0,2011
87216,54,320,6,1,4,7970,122.0,2011
120600,20,286,6,1,4,7970,150.0,2011
119850,54,454,6,0,4,7990,86.0,2011
154500,54,450,6,1,4,7990,160.0,2011
92800,46,405,6,1,4,7990,131.0,2011
118210,54,320,6,1,4,7990,160.0,2011
86000,41,653,6,1,4,7998,116.0,2011
24170,53,112,6,0,4,7999,132.0,2011
188758,54,450,1,1,4,7999,140.0,2011
107001,54,447,6,1,4,7999,122.0,2011
81179,20,145,6,1,4,7900,105.0,2012
98669,53,648,4,0,4,7900,75.0,2012
86747,48,283,6,1,4,7900,86.0,2012
147500,48,555,1,1,4,7900,140.0,2012
140000,53,117,1,1,4,7950,124.0,2012
89400,54,324,6,1,4,7980,122.0,2012
100000,48,431,6,1,4,7980,122.0,2012
14300,41,236,6,0,4,7990,101.0,2012
102000,41,110,6,1,4,7990,179.0,2012
98600,47,99,6,0,4,7990,160.0,2012
123000,20,415,6,1,4,7990,160.0,2012
70600,53,648,6,0,4,7990,99.0,2012
35300,28,193,6,1,4,7990,99.0,2012
128000,54,447,6,1,4,7990,122.0,2012
91000,54,356,6,1,4,7990,105.0,2012
100000,22,666,6,1,4,7999,135.0,2012
105531,53,112,6,0,4,7999,99.0,2012
110405,54,450,6,1,4,7999,122.0,2012
82822,53,648,4,0,4,8500,75.0,2013
35000,48,492,6,1,4,8500,105.0,2013
148000,11,328,1,0,4,8500,150.0,2013
44700,41,96,6,1,4,8500,69.0,2013
77820,36,24,6,1,4,8550,105.0,2013
31000,20,286,6,1,4,8679,125.0,2013
46000,54,454,6,1,4,8699,69.0,2013
50000,20,125,6,1,4,8699,101.0,2013
75800,43,12,6,1,4,8700,82.0,2013
122450,51,533,1,1,4,8700,135.0,2013
54689,41,110,6,1,4,8740,140.0,2013
98000,21,203,6,1,4,8790,99.0,2013
55135,21,355,6,1,4,8800,99.0,2013
53998,22,663,6,1,4,8880,86.0,2013
76796,43,12,6,1,4,8885,120.0,2013
84000,48,649,1,1,4,8888,110.0,2013
48795,48,503,6,0,4,8899,105.0,2013
85320,41,110,6,1,4,8900,140.0,2013
118070,53,648,4,0,4,8900,75.0,2013
59100,28,619,6,1,4,8900,90.0,2013
85183,41,110,6,1,4,8898,140.0,2014
53795,54,671,6,1,4,8900,60.0,2014
74450,11,247,6,1,4,8900,156.0,2014
167000,54,320,1,1,4,8950,110.0,2014
182150,54,320,6,1,4,8980,140.0,2014
68067,43,29,6,1,4,8985,125.0,2014
49252,20,286,6,1,4,8990,125.0,2014
124800,41,406,6,0,4,8990,140.0,2014
91784,20,125,6,1,4,8990,101.0,2014
82500,46,188,1,1,4,8990,90.0,2014
98000,22,666,6,1,4,8990,135.0,2014
34100,28,452,6,0,4,8990,86.0,2014
27241,46,405,1,1,4,8990,110.0,2014
